age,male_death_prob,male_n_lives,male_life_expectancy,female_death_prob,female_n_lives,female_life_expectancy,year
98,0.347332,1726.0,2.13,0.296984,4609.0,2.47,2022
99,0.36943,1126.0,2.0,0.319502,3240.0,2.3,2022
100,0.391927,710.0,1.88,0.342716,2205.0,2.14,2022
101,0.414726,432.0,1.76,0.366532,1449.0,2.0,2022
102,0.437722,253.0,1.66,0.390844,918.0,1.87,2022
103,0.4608,142.0,1.56,0.415531,559.0,1.75,2022
104,0.48384,77.0,1.47,0.440463,327.0,1.63,2022
105,0.508032,40.0,1.39,0.466891,183.0,1.52,2022
106,0.533434,19.0,1.31,0.494904,97.0,1.42,2022
107,0.560105,9.0,1.23,0.524599,49.0,1.32,2022
108,0.588111,4.0,1.15,0.556075,23.0,1.23,2022
109,0.617516,2.0,1.08,0.589439,10.0,1.14,2022
110,0.648392,1.0,1.01,0.624805,4.0,1.05,2022
111,0.680812,0.0,0.94,0.662294,2.0,0.97,2022
112,0.714852,0.0,0.87,0.702031,1.0,0.89,2022
113,0.750595,0.0,0.81,0.744153,0.0,0.82,2022
114,0.788125,0.0,0.75,0.788125,0.0,0.75,2022
115,0.827531,0.0,0.7,0.827531,0.0,0.7,2022
116,0.868907,0.0,0.64,0.868907,0.0,0.64,2022
117,0.912353,0.0,0.59,0.912353,0.0,0.59,2022
118,0.95797,0.0,0.54,0.95797,0.0,0.54,2022
119,1.0,0.0,0.5,1.0,0.0,0.5,2022
