age,male_death_prob,male_n_lives,male_life_expectancy,female_death_prob,female_n_lives,female_life_expectancy,year
69,0.021616,"75,084",14.92,0.01433,"84,069",17.18,2013
70,0.023528,"73,461",14.24,0.015728,"82,864",16.43,2013
71,0.025693,"71,732",13.57,0.017338,"81,561",15.68,2013
72,0.028041,"69,889",12.92,0.019108,"80,147",14.95,2013
73,0.030567,"67,930",12.27,0.021041,"78,616",14.23,2013
74,0.033347,"65,853",11.65,0.023191,"76,961",13.53,2013
75,0.036572,"63,657",11.03,0.025713,"75,177",12.83,2013
76,0.040276,"61,329",10.43,0.028609,"73,244",12.16,2013
77,0.044348,"58,859",9.85,0.03176,"71,148",11.5,2013
78,0.048797,"56,249",9.28,0.035157,"68,888",10.86,2013
79,0.053739,"53,504",8.73,0.03892,"66,467",10.24,2013
80,0.059403,"50,629",8.2,0.043289,"63,880",9.64,2013
81,0.065873,"47,621",7.68,0.048356,"61,114",9.05,2013
82,0.073082,"44,484",7.19,0.054041,"58,159",8.48,2013
83,0.08107,"41,233",6.72,0.060384,"55,016",7.94,2013
84,0.089947,"37,890",6.27,0.067498,"51,694",7.42,2013
85,0.099842,"34,482",5.84,0.075516,"48,205",6.92,2013
86,0.110863,"31,040",5.43,0.084556,"44,565",6.44,2013
87,0.123088,"27,598",5.04,0.094703,"40,796",5.99,2013
88,0.136563,"24,201",4.68,0.106014,"36,933",5.57,2013
89,0.151299,"20,896",4.34,0.118513,"33,017",5.17,2013
90,0.167291,"17,735",4.03,0.132206,"29,104",4.8,2013
91,0.18452,"14,768",3.74,0.147092,"25,257",4.45,2013
92,0.202954,"12,043",3.47,0.163154,"21,542",4.13,2013
93,0.222555,"9,599",3.23,0.180371,"18,027",3.84,2013
94,0.243272,"7,463",3.01,0.198714,"14,775",3.57,2013
95,0.263821,"5,647",2.82,0.217264,"11,839",3.34,2013
96,0.283833,"4,157",2.64,0.235735,"9,267",3.12,2013
97,0.302916,"2,977",2.49,0.25381,"7,083",2.93,2013
98,0.320672,"2,075",2.36,0.271155,"5,285",2.76,2013
99,0.336706,"1,410",2.24,0.287424,"3,852",2.6,2013
100,0.353541,935,2.12,0.30467,"2,745",2.45,2013
101,0.371218,605,2.01,0.32295,"1,909",2.3,2013
102,0.389779,380,1.9,0.342327,"1,292",2.17,2013
103,0.409268,232,1.8,0.362867,850,2.03,2013
104,0.429732,137,1.7,0.384639,541,1.91,2013
105,0.451218,78,1.6,0.407717,333,1.78,2013
106,0.473779,43,1.51,0.43218,197,1.67,2013
107,0.497468,23,1.42,0.458111,112,1.56,2013
108,0.522341,11,1.34,0.485597,61,1.45,2013
109,0.548458,5,1.26,0.514733,31,1.35,2013
110,0.575881,2,1.18,0.545617,15,1.26,2013
111,0.604675,1,1.11,0.578354,7,1.17,2013
112,0.634909,0,1.04,0.613055,3,1.08,2013
113,0.666655,0,0.97,0.649839,1,1,2013
114,0.699987,0,0.9,0.688829,0,0.92,2013
115,0.734987,0,0.84,0.730159,0,0.85,2013
116,0.771736,0,0.78,0.771736,0,0.78,2013
117,0.810323,0,0.72,0.810323,0,0.72,2013
118,0.850839,0,0.67,0.850839,0,0.67,2013
119,0.893381,0,0.61,0.893381,0,0.61,2013
0,0.006322,"100,000",76.33,0.005313,"100,000",81.11,2014
1,0.000396,"99,368",75.81,0.000346,"99,469",80.54,2014
2,0.000282,"99,328",74.84,0.000221,"99,434",79.57,2014
3,0.000212,"99,300",73.86,0.000162,"99,412",78.59,2014
4,0.000186,"99,279",72.88,0.000131,"99,396",77.6,2014
5,0.000162,"99,261",71.89,0.000116,"99,383",76.61,2014
6,0.000144,"99,245",70.9,0.000106,"99,372",75.62,2014
7,0.000129,"99,231",69.91,0.000098,"99,361",74.63,2014
8,0.000114,"99,218",68.92,0.000091,"99,351",73.64,2014
9,0.0001,"99,206",67.93,0.000086,"99,342",72.64,2014
10,0.000093,"99,197",66.94,0.000084,"99,334",71.65,2014
11,0.000101,"99,187",65.94,0.000087,"99,325",70.66,2014
12,0.000136,"99,177",64.95,0.0001,"99,317",69.66,2014
13,0.000205,"99,164",63.96,0.000124,"99,307",68.67,2014
14,0.000299,"99,144",62.97,0.000157,"99,294",67.68,2014
15,0.000401,"99,114",61.99,0.000194,"99,279",66.69,2014
16,0.000505,"99,074",61.02,0.000232,"99,260",65.7,2014
17,0.00062,"99,024",60.05,0.000269,"99,237",64.72,2014
18,0.000747,"98,963",59.08,0.000304,"99,210",63.73,2014
19,0.000879,"98,889",58.13,0.000338,"99,180",62.75,2014
20,0.001019,"98,802",57.18,0.000373,"99,146",61.77,2014
21,0.001151,"98,701",56.24,0.000409,"99,109",60.8,2014
22,0.001252,"98,588",55.3,0.000442,"99,069",59.82,2014
23,0.001309,"98,464",54.37,0.000471,"99,025",58.85,2014
24,0.001335,"98,335",53.44,0.000497,"98,978",57.87,2014
25,0.001349,"98,204",52.51,0.000524,"98,929",56.9,2014
26,0.001369,"98,072",51.58,0.000553,"98,877",55.93,2014
27,0.001391,"97,937",50.65,0.000582,"98,822",54.96,2014
28,0.001422,"97,801",49.72,0.000611,"98,765",53.99,2014
29,0.001459,"97,662",48.79,0.000641,"98,705",53.03,2014
30,0.001498,"97,520",47.86,0.000673,"98,641",52.06,2014
31,0.001536,"97,373",46.93,0.00071,"98,575",51.1,2014
32,0.001576,"97,224",46,0.000753,"98,505",50.13,2014
33,0.001616,"97,071",45.07,0.000805,"98,431",49.17,2014
34,0.001661,"96,914",44.15,0.000864,"98,351",48.21,2014
35,0.001716,"96,753",43.22,0.000932,"98,266",47.25,2014
36,0.001782,"96,587",42.29,0.001005,"98,175",46.29,2014
37,0.001854,"96,415",41.37,0.001082,"98,076",45.34,2014
38,0.001931,"96,236",40.44,0.00116,"97,970",44.39,2014
39,0.002018,"96,050",39.52,0.001243,"97,856",43.44,2014
40,0.002123,"95,856",38.6,0.001336,"97,735",42.49,2014
41,0.002252,"95,653",37.68,0.001442,"97,604",41.55,2014
42,0.002413,"95,437",36.76,0.001562,"97,463",40.61,2014
43,0.002611,"95,207",35.85,0.001698,"97,311",39.67,2014
44,0.002845,"94,958",34.95,0.001849,"97,146",38.74,2014
45,0.003109,"94,688",34.04,0.002014,"96,966",37.81,2014
46,0.003402,"94,394",33.15,0.002195,"96,771",36.88,2014
47,0.003736,"94,073",32.26,0.002402,"96,559",35.96,2014
48,0.004114,"93,721",31.38,0.002639,"96,327",35.05,2014
49,0.004533,"93,336",30.51,0.002903,"96,072",34.14,2014
50,0.004987,"92,913",29.64,0.003189,"95,794",33.24,2014
51,0.005473,"92,449",28.79,0.003488,"95,488",32.34,2014
52,0.005997,"91,943",27.94,0.003795,"95,155",31.45,2014
53,0.00656,"91,392",27.11,0.004105,"94,794",30.57,2014
54,0.007159,"90,792",26.29,0.004423,"94,405",29.7,2014
55,0.007803,"90,142",25.47,0.004775,"93,987",28.83,2014
56,0.00848,"89,439",24.67,0.005153,"93,539",27.96,2014
57,0.00917,"88,681",23.87,0.005528,"93,057",27.1,2014
58,0.009863,"87,867",23.09,0.005893,"92,542",26.25,2014
59,0.010572,"87,001",22.32,0.006266,"91,997",25.4,2014
60,0.011354,"86,081",21.55,0.006688,"91,420",24.56,2014
61,0.012202,"85,104",20.79,0.007176,"90,809",23.72,2014
62,0.013061,"84,065",20.04,0.007724,"90,157",22.89,2014
63,0.01392,"82,967",19.3,0.008339,"89,461",22.07,2014
64,0.014819,"81,812",18.57,0.009034,"88,715",21.25,2014
65,0.015826,"80,600",17.84,0.009832,"87,914",20.44,2014
66,0.016986,"79,324",17.12,0.01074,"87,049",19.63,2014
67,0.018295,"77,977",16.4,0.011754,"86,114",18.84,2014
68,0.019776,"76,550",15.7,0.012881,"85,102",18.06,2014
69,0.021448,"75,036",15.01,0.014141,"84,006",17.29,2014
70,0.02338,"73,427",14.32,0.015612,"82,818",16.53,2014
71,0.025549,"71,710",13.66,0.017275,"81,525",15.78,2014
72,0.027885,"69,878",13,0.019047,"80,117",15.05,2014
73,0.030374,"67,930",12.36,0.020909,"78,591",14.34,2014
74,0.033099,"65,866",11.73,0.022939,"76,947",13.63,2014
75,0.036254,"63,686",11.11,0.025297,"75,182",12.94,2014
76,0.039882,"61,377",10.51,0.028045,"73,280",12.26,2014
77,0.043879,"58,930",9.93,0.031131,"71,225",11.6,2014
78,0.048256,"56,344",9.36,0.034582,"69,008",10.96,2014
79,0.053123,"53,625",8.81,0.038467,"66,621",10.33,2014
80,0.058711,"50,776",8.28,0.043008,"64,059",9.73,2014
81,0.065081,"47,795",7.76,0.048175,"61,304",9.14,2014
82,0.072139,"44,685",7.27,0.053772,"58,350",8.58,2014
83,0.079912,"41,461",6.8,0.05977,"55,213",8.04,2014
84,0.088529,"38,148",6.34,0.066367,"51,913",7.52,2014
85,0.098148,"34,771",5.91,0.073828,"48,467",7.01,2014
86,0.108902,"31,358",5.5,0.082382,"44,889",6.53,2014
87,0.120886,"27,943",5.11,0.092183,"41,191",6.08,2014
88,0.134149,"24,565",4.74,0.103305,"37,394",5.64,2014
89,0.148699,"21,270",4.4,0.115746,"33,531",5.23,2014
90,0.164525,"18,107",4.08,0.129475,"29,650",4.85,2014
91,0.1816,"15,128",3.79,0.144443,"25,811",4.5,2014
92,0.199884,"12,381",3.52,0.16059,"22,083",4.18,2014
93,0.219331,"9,906",3.27,0.177853,"18,536",3.88,2014
94,0.239886,"7,733",3.05,0.196165,"15,240",3.61,2014
95,0.260269,"5,878",2.85,0.214677,"12,250",3.37,2014
96,0.280109,"4,348",2.68,0.233091,"9,620",3.16,2014
97,0.299013,"3,130",2.53,0.251082,"7,378",2.96,2014
98,0.316578,"2,194",2.39,0.268304,"5,525",2.79,2014
99,0.332406,"1,500",2.27,0.284403,"4,043",2.63,2014
100,0.349027,"1,001",2.15,0.301467,"2,893",2.48,2014
101,0.366478,652,2.04,0.319555,"2,021",2.33,2014
102,0.384802,413,1.93,0.338728,"1,375",2.19,2014
103,0.404042,254,1.83,0.359052,909,2.06,2014
104,0.424244,151,1.73,0.380595,583,1.93,2014
105,0.445456,87,1.63,0.403431,361,1.81,2014
106,0.467729,48,1.54,0.427637,215,1.69,2014
107,0.491116,26,1.45,0.453295,123,1.58,2014
108,0.515671,13,1.36,0.480492,67,1.47,2014
109,0.541455,6,1.28,0.509322,35,1.37,2014
110,0.568528,3,1.2,0.539881,17,1.27,2014
111,0.596954,1,1.13,0.572274,8,1.18,2014
112,0.626802,1,1.05,0.606611,3,1.09,2014
113,0.658142,0,0.98,0.643007,1,1.01,2014
114,0.691049,0,0.92,0.681588,0,0.93,2014
115,0.725602,0,0.86,0.722483,0,0.86,2014
116,0.761882,0,0.79,0.761882,0,0.79,2014
117,0.799976,0,0.74,0.799976,0,0.74,2014
118,0.839975,0,0.68,0.839975,0,0.68,2014
119,0.881973,0,0.63,0.881973,0,0.63,2014
0,0.006383,"100,000",76.15,0.005374,"100,000",80.97,2015
1,0.000453,"99,362",75.63,0.000353,"99,463",80.41,2015
2,0.000282,"99,317",74.67,0.000231,"99,427",79.44,2015
3,0.00023,"99,289",73.69,0.000165,"99,405",78.45,2015
4,0.000169,"99,266",72.71,0.000129,"99,388",77.47,2015
5,0.000155,"99,249",71.72,0.000116,"99,375",76.48,2015
6,0.000145,"99,234",70.73,0.000107,"99,364",75.48,2015
7,0.000135,"99,219",69.74,0.000101,"99,353",74.49,2015
8,0.00012,"99,206",68.75,0.000096,"99,343",73.5,2015
9,0.000105,"99,194",67.76,0.000092,"99,334",72.51,2015
10,0.000094,"99,184",66.76,0.000091,"99,325",71.51,2015
11,0.000099,"99,174",65.77,0.000096,"99,316",70.52,2015
12,0.000134,"99,164",64.78,0.000111,"99,306",69.53,2015
13,0.000207,"99,151",63.79,0.000138,"99,295",68.53,2015
14,0.000309,"99,131",62.8,0.000174,"99,281",67.54,2015
15,0.000419,"99,100",61.82,0.000214,"99,264",66.56,2015
16,0.00053,"99,059",60.84,0.000254,"99,243",65.57,2015
17,0.000655,"99,006",59.88,0.000294,"99,217",64.59,2015
18,0.000791,"98,941",58.91,0.00033,"99,188",63.61,2015
19,0.000934,"98,863",57.96,0.000364,"99,156",62.63,2015
20,0.001085,"98,771",57.01,0.000399,"99,120",61.65,2015
21,0.001228,"98,663",56.08,0.000436,"99,080",60.67,2015
22,0.001339,"98,542",55.14,0.000469,"99,037",59.7,2015
23,0.001403,"98,410",54.22,0.000497,"98,990",58.73,2015
24,0.001433,"98,272",53.29,0.000522,"98,941",57.76,2015
25,0.001451,"98,131",52.37,0.000546,"98,890",56.79,2015
26,0.001475,"97,989",51.44,0.000572,"98,836",55.82,2015
27,0.001502,"97,844",50.52,0.000604,"98,779",54.85,2015
28,0.001538,"97,698",49.59,0.000644,"98,719",53.88,2015
29,0.001581,"97,547",48.67,0.00069,"98,656",52.92,2015
30,0.001626,"97,393",47.75,0.00074,"98,588",51.95,2015
31,0.001669,"97,235",46.82,0.000792,"98,515",50.99,2015
32,0.001712,"97,072",45.9,0.000841,"98,437",50.03,2015
33,0.001755,"96,906",44.98,0.000886,"98,354",49.07,2015
34,0.0018,"96,736",44.06,0.000929,"98,267",48.11,2015
35,0.001855,"96,562",43.14,0.000977,"98,175",47.16,2015
36,0.00192,"96,383",42.22,0.001034,"98,080",46.2,2015
37,0.001988,"96,198",41.3,0.001098,"97,978",45.25,2015
38,0.00206,"96,006",40.38,0.001171,"97,870",44.3,2015
39,0.002141,"95,809",39.46,0.001253,"97,756",43.35,2015
40,0.00224,"95,603",38.54,0.001347,"97,633",42.41,2015
41,0.002362,"95,389",37.63,0.001452,"97,502",41.46,2015
42,0.002509,"95,164",36.72,0.001571,"97,360",40.52,2015
43,0.002684,"94,925",35.81,0.001706,"97,207",39.59,2015
44,0.00289,"94,671",34.9,0.001857,"97,041",38.65,2015
45,0.003121,"94,397",34,0.002022,"96,861",37.72,2015
46,0.003386,"94,102",33.11,0.002204,"96,665",36.8,2015
47,0.003707,"93,784",32.22,0.002411,"96,452",35.88,2015
48,0.004091,"93,436",31.34,0.002648,"96,220",34.96,2015
49,0.004531,"93,054",30.46,0.00291,"95,965",34.06,2015
50,0.005013,"92,632",29.6,0.003193,"95,686",33.15,2015
51,0.005524,"92,168",28.75,0.003491,"95,380",32.26,2015
52,0.006059,"91,659",27.9,0.003801,"95,047",31.37,2015
53,0.006611,"91,103",27.07,0.004119,"94,686",30.49,2015
54,0.007187,"90,501",26.25,0.004449,"94,296",29.61,2015
55,0.0078,"89,851",25.43,0.004813,"93,877",28.74,2015
56,0.008456,"89,150",24.63,0.005201,"93,425",27.88,2015
57,0.009144,"88,396",23.83,0.005583,"92,939",27.02,2015
58,0.009865,"87,588",23.05,0.005952,"92,420",26.17,2015
59,0.010622,"86,724",22.27,0.006325,"91,870",25.32,2015
60,0.011458,"85,802",21.51,0.006749,"91,289",24.48,2015
61,0.01235,"84,819",20.75,0.007238,"90,673",23.64,2015
62,0.013235,"83,772",20,0.007776,"90,017",22.81,2015
63,0.014097,"82,663",19.27,0.008368,"89,317",21.99,2015
64,0.014979,"81,498",18.53,0.009032,"88,569",21.17,2015
65,0.015967,"80,277",17.81,0.009794,"87,769",20.36,2015
66,0.017109,"78,995",17.09,0.010673,"86,910",19.55,2015
67,0.018392,"77,644",16.38,0.011676,"85,982",18.76,2015
68,0.019836,"76,216",15.68,0.012815,"84,978",17.98,2015
69,0.021465,"74,704",14.98,0.014105,"83,889",17.2,2015
70,0.023351,"73,100",14.3,0.015616,"82,706",16.44,2015
71,0.025482,"71,393",13.63,0.017318,"81,414",15.69,2015
72,0.027794,"69,574",12.97,0.019118,"80,004",14.96,2015
73,0.030282,"67,640",12.33,0.020996,"78,475",14.24,2015
74,0.033022,"65,592",11.7,0.023033,"76,827",13.54,2015
75,0.036201,"63,426",11.08,0.025413,"75,058",12.85,2015
76,0.039858,"61,130",10.48,0.028197,"73,150",12.17,2015
77,0.043891,"58,693",9.89,0.031313,"71,088",11.51,2015
78,0.048311,"56,117",9.33,0.034782,"68,862",10.86,2015
79,0.053228,"53,406",8.77,0.038689,"66,466",10.24,2015
80,0.058897,"50,564",8.24,0.043258,"63,895",9.63,2015
81,0.065365,"47,585",7.72,0.04849,"61,131",9.04,2015
82,0.072491,"44,475",7.23,0.054223,"58,167",8.48,2015
83,0.080288,"41,251",6.75,0.060446,"55,013",7.93,2015
84,0.088916,"37,939",6.3,0.067338,"51,688",7.41,2015
85,0.098576,"34,566",5.87,0.075133,"48,207",6.91,2015
86,0.109438,"31,158",5.45,0.084033,"44,585",6.43,2015
87,0.121619,"27,748",5.06,0.094177,"40,838",5.98,2015
88,0.135176,"24,374",4.69,0.105633,"36,992",5.54,2015
89,0.150109,"21,079",4.35,0.118407,"33,085",5.14,2015
90,0.166397,"17,915",4.03,0.132476,"29,167",4.76,2015
91,0.183997,"14,934",3.73,0.147801,"25,303",4.41,2015
92,0.202855,"12,186",3.46,0.164331,"21,563",4.09,2015
93,0.222911,"9,714",3.21,0.182012,"18,020",3.8,2015
94,0.244094,"7,549",2.99,0.200783,"14,740",3.54,2015
95,0.265091,"5,706",2.8,0.219758,"11,781",3.3,2015
96,0.285508,"4,193",2.63,0.23863,"9,192",3.09,2015
97,0.304926,"2,996",2.48,0.257065,"6,998",2.9,2015
98,0.322919,"2,083",2.34,0.274706,"5,199",2.73,2015
99,0.339065,"1,410",2.22,0.291189,"3,771",2.57,2015
100,0.356018,932,2.11,0.30866,"2,673",2.42,2015
101,0.373819,600,2,0.32718,"1,848",2.27,2015
102,0.39251,376,1.89,0.34681,"1,243",2.14,2015
103,0.412135,228,1.79,0.367619,812,2,2015
104,0.432742,134,1.69,0.389676,514,1.88,2015
105,0.454379,76,1.59,0.413057,313,1.76,2015
106,0.477098,42,1.5,0.43784,184,1.64,2015
107,0.500953,22,1.41,0.464111,103,1.53,2015
108,0.526,11,1.33,0.491957,55,1.43,2015
109,0.5523,5,1.25,0.521475,28,1.33,2015
110,0.579915,2,1.17,0.552763,13,1.24,2015
111,0.608911,1,1.1,0.585929,6,1.15,2015
112,0.639357,0,1.03,0.621085,2,1.06,2015
113,0.671325,0,0.96,0.65835,1,0.98,2015
114,0.704891,0,0.89,0.697851,0,0.9,2015
115,0.740135,0,0.83,0.739722,0,0.83,2015
116,0.777142,0,0.77,0.777142,0,0.77,2015
117,0.815999,0,0.71,0.815999,0,0.71,2015
118,0.856799,0,0.66,0.856799,0,0.66,2015
119,0.899639,0,0.61,0.899639,0,0.61,2015
0,0.006364,"100,000",76.04,0.005331,"100,000",80.99,2016
1,0.000432,"99,364",75.52,0.000359,"99,467",80.43,2016
2,0.000284,"99,321",74.55,0.000247,"99,431",79.46,2016
3,0.000234,"99,292",73.58,0.000169,"99,407",78.48,2016
4,0.00017,"99,269",72.59,0.000155,"99,390",77.49,2016
5,0.000157,"99,252",71.6,0.000135,"99,375",76.5,2016
6,0.000147,"99,237",70.62,0.00012,"99,361",75.51,2016
7,0.000136,"99,222",69.63,0.000109,"99,349",74.52,2016
8,0.00012,"99,209",68.64,0.0001,"99,338",73.53,2016
9,0.000101,"99,197",67.64,0.000094,"99,328",72.54,2016
10,0.000088,"99,187",66.65,0.000093,"99,319",71.54,2016
11,0.000093,"99,178",65.66,0.000098,"99,310",70.55,2016
12,0.00013,"99,169",64.66,0.000113,"99,300",69.56,2016
13,0.000209,"99,156",63.67,0.00014,"99,289",68.56,2016
14,0.00032,"99,135",62.68,0.000176,"99,275",67.57,2016
15,0.000441,"99,103",61.7,0.000216,"99,258",66.58,2016
16,0.000564,"99,060",60.73,0.000259,"99,236",65.6,2016
17,0.000701,"99,004",59.76,0.000301,"99,211",64.62,2016
18,0.000851,"98,934",58.81,0.000342,"99,181",63.63,2016
19,0.001007,"98,850",57.86,0.000381,"99,147",62.66,2016
20,0.001173,"98,751",56.91,0.000423,"99,109",61.68,2016
21,0.001331,"98,635",55.98,0.000466,"99,067",60.71,2016
22,0.001455,"98,504",55.05,0.000505,"99,021",59.73,2016
23,0.001531,"98,360",54.13,0.000539,"98,971",58.76,2016
24,0.001572,"98,210",53.22,0.000568,"98,918",57.8,2016
25,0.001602,"98,055",52.3,0.000598,"98,861",56.83,2016
26,0.001635,"97,898",51.38,0.00063,"98,802",55.86,2016
27,0.001669,"97,738",50.47,0.000666,"98,740",54.9,2016
28,0.001708,"97,575",49.55,0.000707,"98,674",53.93,2016
29,0.001752,"97,408",48.63,0.000753,"98,605",52.97,2016
30,0.001794,"97,238",47.72,0.000803,"98,530",52.01,2016
31,0.001835,"97,063",46.8,0.000853,"98,451",51.05,2016
32,0.00188,"96,885",45.89,0.000905,"98,367",50.09,2016
33,0.00193,"96,703",44.97,0.000956,"98,278",49.14,2016
34,0.001986,"96,516",44.06,0.001009,"98,184",48.19,2016
35,0.002052,"96,325",43.15,0.001069,"98,085",47.23,2016
36,0.002125,"96,127",42.23,0.001134,"97,980",46.28,2016
37,0.002196,"95,923",41.32,0.001199,"97,869",45.34,2016
38,0.002264,"95,712",40.41,0.001263,"97,752",44.39,2016
39,0.002334,"95,495",39.5,0.001329,"97,628",43.45,2016
40,0.00242,"95,272",38.59,0.001403,"97,499",42.5,2016
41,0.00253,"95,042",37.69,0.001491,"97,362",41.56,2016
42,0.002663,"94,801",36.78,0.001597,"97,217",40.62,2016
43,0.002823,"94,549",35.88,0.001724,"97,061",39.69,2016
44,0.003013,"94,282",34.98,0.001871,"96,894",38.76,2016
45,0.003229,"93,998",34.08,0.002033,"96,713",37.83,2016
46,0.003479,"93,694",33.19,0.002212,"96,516",36.9,2016
47,0.00378,"93,369",32.3,0.002417,"96,303",35.98,2016
48,0.00414,"93,016",31.43,0.002651,"96,070",35.07,2016
49,0.004553,"92,631",30.55,0.002911,"95,815",34.16,2016
50,0.005007,"92,209",29.69,0.003193,"95,536",33.26,2016
51,0.005493,"91,747",28.84,0.003492,"95,231",32.36,2016
52,0.006016,"91,243",27.99,0.003803,"94,899",31.48,2016
53,0.006575,"90,694",27.16,0.004126,"94,538",30.59,2016
54,0.00717,"90,098",26.34,0.004462,"94,148",29.72,2016
55,0.007805,"89,452",25.52,0.004829,"93,728",28.85,2016
56,0.008477,"88,754",24.72,0.00522,"93,275",27.99,2016
57,0.009181,"88,001",23.93,0.005612,"92,788",27.13,2016
58,0.009916,"87,193",23.15,0.006,"92,267",26.28,2016
59,0.010683,"86,329",22.37,0.006397,"91,714",25.44,2016
60,0.011533,"85,407",21.61,0.006848,"91,127",24.6,2016
61,0.012434,"84,422",20.85,0.007358,"90,503",23.76,2016
62,0.013302,"83,372",20.11,0.007893,"89,837",22.94,2016
63,0.014109,"82,263",19.37,0.008453,"89,128",22.12,2016
64,0.014913,"81,102",18.65,0.009063,"88,375",21.3,2016
65,0.015808,"79,893",17.92,0.009761,"87,574",20.49,2016
66,0.016868,"78,630",17.2,0.010581,"86,719",19.69,2016
67,0.018101,"77,303",16.49,0.011535,"85,801",18.89,2016
68,0.019544,"75,904",15.78,0.012646,"84,811",18.11,2016
69,0.021206,"74,421",15.09,0.013919,"83,739",17.33,2016
70,0.023122,"72,843",14.4,0.015413,"82,573",16.57,2016
71,0.025265,"71,158",13.73,0.017089,"81,301",15.82,2016
72,0.027585,"69,360",13.07,0.018861,"79,911",15.09,2016
73,0.03007,"67,447",12.43,0.020705,"78,404",14.37,2016
74,0.032794,"65,419",11.8,0.022703,"76,781",13.66,2016
75,0.035963,"63,274",11.18,0.025035,"75,038",12.97,2016
76,0.039588,"60,998",10.58,0.027766,"73,159",12.29,2016
77,0.043511,"58,583",10,0.030822,"71,128",11.62,2016
78,0.04772,"56,034",9.43,0.034227,"68,936",10.98,2016
79,0.052358,"53,360",8.88,0.038062,"66,576",10.35,2016
80,0.057712,"50,567",8.34,0.042539,"64,042",9.74,2016
81,0.063886,"47,648",7.82,0.047663,"61,318",9.15,2016
82,0.070782,"44,604",7.32,0.053278,"58,395",8.58,2016
83,0.078442,"41,447",6.84,0.059378,"55,284",8.04,2016
84,0.086997,"38,196",6.38,0.066132,"52,001",7.51,2016
85,0.096603,"34,873",5.94,0.073763,"48,562",7.01,2016
86,0.10739,"31,504",5.52,0.082465,"44,980",6.53,2016
87,0.119456,"28,121",5.12,0.09237,"41,271",6.07,2016
88,0.132853,"24,762",4.75,0.103546,"37,459",5.64,2016
89,0.147599,"21,472",4.4,0.115997,"33,580",5.23,2016
90,0.163689,"18,303",4.08,0.129706,"29,685",4.85,2016
91,0.181104,"15,307",3.78,0.144636,"25,835",4.5,2016
92,0.19981,"12,535",3.5,0.160741,"22,098",4.18,2016
93,0.219765,"10,030",3.25,0.177971,"18,546",3.88,2016
94,0.240913,"7,826",3.03,0.19627,"15,245",3.61,2016
95,0.261868,"5,941",2.83,0.214769,"12,253",3.37,2016
96,0.282225,"4,385",2.66,0.233174,"9,622",3.16,2016
97,0.301555,"3,147",2.51,0.251158,"7,378",2.96,2016
98,0.319421,"2,198",2.37,0.268378,"5,525",2.79,2016
99,0.335392,"1,496",2.25,0.284481,"4,042",2.63,2016
100,0.352162,994,2.13,0.30155,"2,892",2.48,2016
101,0.36977,644,2.02,0.319643,"2,020",2.33,2016
102,0.388259,406,1.91,0.338821,"1,374",2.19,2016
103,0.407672,248,1.81,0.359151,909,2.06,2016
104,0.428055,147,1.71,0.3807,582,1.93,2016
105,0.449458,84,1.61,0.403542,361,1.81,2016
106,0.471931,46,1.52,0.427754,215,1.69,2016
107,0.495527,24,1.43,0.45342,123,1.58,2016
108,0.520304,12,1.35,0.480625,67,1.47,2016
109,0.546319,6,1.27,0.509462,35,1.37,2016
110,0.573635,3,1.19,0.54003,17,1.27,2016
111,0.602317,1,1.11,0.572432,8,1.18,2016
112,0.632432,0,1.04,0.606778,3,1.09,2016
113,0.664054,0,0.97,0.643184,1,1.01,2016
114,0.697257,0,0.91,0.681775,0,0.93,2016
115,0.732119,0,0.84,0.722682,0,0.86,2016
116,0.768725,0,0.78,0.766043,0,0.79,2016
117,0.807162,0,0.73,0.807162,0,0.73,2016
118,0.84752,0,0.67,0.84752,0,0.67,2016
119,0.889896,0,0.62,0.889896,0,0.62,2016
